timestamp,operating_mode,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,emergency_within_4h,valid_for_model
2026-07-19 00:20:00+00:00,1,70.074302673339844,56.663768768310547,16.209835052490234,46.480800628662109,4.1216335296630859,4.7437548637390137,3.8577072620391846,0.80331039428710938,5.9112672805786133,21.424118041992188,179.75942993164062,0,1
2026-07-19 00:25:00+00:00,1,69.816902160644531,56.880653381347656,16.29786491394043,46.492973327636719,4.1334266662597656,4.7615489959716797,3.9054300785064697,0.80001944303512573,5.8625965118408203,21.740547180175781,179.37983703613281,0,1
2026-07-19 00:30:00+00:00,1,69.677299499511719,57.323760986328125,16.297630310058594,46.308612823486328,4.1421232223510742,4.7325315475463867,3.9932024478912354,0.81513619422912598,5.9084105491638184,21.743633270263672,179.44764709472656,0,1
2026-07-19 00:35:00+00:00,1,69.678421020507812,57.702789306640625,16.145612716674805,46.356212615966797,4.1244626045227051,4.7627873420715332,3.9990434646606445,0.83459299802780151,5.9352374076843262,21.924272537231445,180.606201171875,0,1
2026-07-19 00:40:00+00:00,1,69.679695129394531,58.216785430908203,16.26301383972168,46.3282470703125,4.149256706237793,4.744898796081543,3.9791555404663086,0.82348573207855225,5.8956818580627441,21.886745452880859,180.06646728515625,0,1
2026-07-19 00:45:00+00:00,1,69.72930908203125,58.384910583496094,16.256183624267578,46.295616149902344,4.1117305755615234,4.7229032516479492,3.9349007606506348,0.80638569593429565,5.8564677238464355,21.916736602783203,181.56480407714844,0,1
2026-07-19 00:50:00+00:00,1,69.550437927246094,58.313526153564453,16.154956817626953,46.374050140380859,4.1336493492126465,4.7511515617370605,3.9142584800720215,0.79225295782089233,5.8737215995788574,21.901987075805664,180.58448791503906,0,1
2026-07-19 00:55:00+00:00,1,69.666053771972656,58.376789093017578,16.232076644897461,46.422618865966797,4.1105937957763672,4.6538176536560059,3.9638333320617676,0.81493043899536133,5.8487801551818848,21.490760803222656,183.18539428710938,0,1
2026-07-19 01:00:00+00:00,1,69.552192687988281,58.362453460693359,16.230476379394531,46.389114379882812,4.105771541595459,4.7038650512695312,3.9125709533691406,0.78826636075973511,5.8226771354675293,21.566106796264648,182.18362426757812,0,1
2026-07-19 01:05:00+00:00,1,69.598419189453125,58.272586822509766,16.246408462524414,46.421615600585938,4.1364107131958008,4.7442545890808105,3.9428281784057617,0.79564589262008667,5.8768014907836914,21.682134628295898,181.05909729003906,0,1
